iter	AUC	CrossEntropy
279	0.7316083936	0.621194444
280	0.7316415154	0.6211385501
281	0.7317076599	0.6210800017
282	0.7317782417	0.6210229783
283	0.7318683983	0.6209650266
284	0.7318910041	0.6209063504
285	0.7319464626	0.6208505065
286	0.7319992191	0.620791327
287	0.7320191696	0.6207366028
288	0.7321137091	0.6206794438
289	0.7321878335	0.6206233818
290	0.7322577117	0.6205692912
291	0.7323330506	0.6205122318
292	0.7323942378	0.6204564341
293	0.732434566	0.6203987056
294	0.7325263066	0.6203422465
295	0.7325408955	0.6202871046
296	0.7326097086	0.6202321119
297	0.732660036	0.6201797312
298	0.7327153928	0.6201256059
299	0.7327733061	0.620070699
300	0.7328229683	0.6200187054
301	0.7328898425	0.6199664107
302	0.7329504263	0.6199148397
303	0.7330101191	0.6198628947
304	0.7330514628	0.6198136554
305	0.7331213307	0.6197646471
306	0.7332095261	0.6197131048
307	0.7332609602	0.6196609588
308	0.7332984385	0.6196080454
309	0.7333650742	0.619556337
310	0.7333983686	0.619503598
311	0.7334501127	0.6194531367
312	0.7335148544	0.6194032854
313	0.7335532466	0.6193533566
314	0.7336036517	0.6193011709
315	0.7336447276	0.619256201
316	0.7336880388	0.6192069583
317	0.7337470096	0.6191589144
318	0.7337557901	0.6191107838
319	0.733802865	0.6190626127
320	0.7338659057	0.6190132235
321	0.7338997847	0.6189685517
322	0.7339538165	0.6189222218
323	0.7340132254	0.6188753359
324	0.7340770731	0.6188266088
325	0.7341193919	0.6187826076
326	0.7341468354	0.6187335692
327	0.734179718	0.618686158
328	0.7342170781	0.6186384839
329	0.7342486149	0.6185921949
330	0.7342919445	0.618546159
331	0.7343602788	0.6184998622
332	0.7344117769	0.6184560117
333	0.7344549918	0.6184137861
334	0.734507596	0.6183714364
335	0.7345410179	0.6183286004
336	0.7345827896	0.6182859456
337	0.7346025175	0.6182415174
338	0.7346628267	0.6181980312
339	0.7347084519	0.6181516372
340	0.7347455376	0.6181096661
341	0.7347963612	0.6180657156
342	0.7348494914	0.6180224526
343	0.7348935386	0.6179785928
344	0.7349392216	0.6179346187
345	0.7349930611	0.6178923289
346	0.7350311612	0.6178505851
347	0.7350225323	0.6178037972
348	0.7350678504	0.6177628771
349	0.7351090039	0.6177228281
350	0.7351505555	0.6176808811
351	0.7351821982	0.617637009
352	0.7352225451	0.6175953124
353	0.7352617902	0.6175542186
354	0.7352878358	0.6175137116
355	0.7353296093	0.6174751331
356	0.7353540061	0.6174357019
357	0.7353799264	0.6173968827
358	0.7354153494	0.6173555116
359	0.7354310693	0.617313022
360	0.7354805548	0.6172730184
361	0.7354987832	0.6172352321
362	0.735525593	0.6171959509
363	0.7355581661	0.6171561634
364	0.73562411	0.6171150445
365	0.7356338103	0.6170755624
366	0.7356518032	0.6170353379
367	0.7356917971	0.6169981037
368	0.7357354707	0.6169585717
369	0.7357659098	0.6169214905
370	0.735787907	0.6168831038
371	0.7358244672	0.6168468647
372	0.7358544616	0.6168066065
373	0.7358483559	0.6167661522
374	0.7358875665	0.6167270872
375	0.7359335831	0.6166885834
376	0.7359616622	0.6166487214
377	0.7360132728	0.6166098555
378	0.7360550272	0.6165747505
379	0.7360979943	0.6165369819
380	0.7361313976	0.6164981312
381	0.7361792658	0.6164625265
382	0.736216155	0.6164246194
383	0.7362616729	0.6163895607
384	0.7362973605	0.6163554714
385	0.7363334016	0.6163180287
386	0.736380439	0.6162820832
387	0.7364255055	0.6162472124
388	0.7364643018	0.6162121479
389	0.736509477	0.6161772926
390	0.7365436999	0.6161428806
391	0.7365850271	0.6161052305
392	0.7366234959	0.6160716856
393	0.7366442688	0.616036274
394	0.7366565708	0.6160023708
395	0.7366879415	0.6159666049
396	0.7367254093	0.6159319465
397	0.7367565488	0.6158963694
398	0.7367899869	0.6158655339
399	0.7368270591	0.6158312016
400	0.73685198	0.6157955059
401	0.7368844737	0.6157628453
402	0.7368991356	0.6157298769
403	0.7369325554	0.6156958163
404	0.7369722828	0.6156624519
405	0.7370049461	0.6156306216
406	0.7370348484	0.6155990187
407	0.7370618032	0.6155664279
408	0.737102291	0.6155346057
409	0.737128823	0.6155027041
410	0.7371511934	0.6154695928
411	0.7371826325	0.61543857
412	0.7372213434	0.6154062989
413	0.7372517369	0.6153741836
414	0.7372923419	0.6153428868
415	0.7373247437	0.6153112513
416	0.7373455761	0.6152794203
417	0.7373546868	0.6152447816
418	0.7373777102	0.6152134602
419	0.7374065263	0.6151810249
420	0.7374388464	0.6151501494
421	0.7374573884	0.6151210288
422	0.7374937523	0.6150897098
423	0.7375240551	0.6150573176
424	0.7375502511	0.615026631
425	0.73758325	0.6149957764
426	0.7376051492	0.6149652496
427	0.7376328788	0.6149332797
428	0.7376697623	0.6149039659
429	0.7377000835	0.6148737737
430	0.73772207	0.6148420089
431	0.7377465083	0.6148135778
432	0.7377766625	0.614782862
433	0.7378071417	0.6147534548
434	0.7378506209	0.6147231518
435	0.7378801475	0.614693108
436	0.737905328	0.6146640328
437	0.7379274266	0.6146339739
438	0.7379505596	0.6146034076
439	0.7379707663	0.6145736924
440	0.7379880634	0.614543717
441	0.7380089127	0.6145159897
442	0.7380284569	0.6144875312
443	0.7380553428	0.6144598657
444	0.7380799781	0.6144303263
445	0.7381103874	0.614401249
446	0.7381441616	0.614373695
447	0.7381806087	0.6143462635
448	0.7382155777	0.6143191378
449	0.738239986	0.6142887355
450	0.7382753553	0.6142618157
451	0.7383056441	0.6142342495
452	0.7383384474	0.6142068776
453	0.7383737062	0.6141804105
454	0.7383967197	0.614154088
455	0.7384294814	0.6141247421
456	0.7384541682	0.6140977681
457	0.7384762469	0.6140707504
458	0.7384990928	0.6140440839
459	0.7385220723	0.6140151325
460	0.7385508895	0.6139869742
461	0.7385813085	0.613959319
462	0.7386091115	0.6139323029
463	0.7386364844	0.6139028907
464	0.7386556179	0.6138767719
465	0.7386849068	0.6138500936
466	0.7387185855	0.6138216617
467	0.7387475067	0.6137940555
468	0.738771418	0.6137671215
469	0.738797158	0.613739574
470	0.738825009	0.6137130645
471	0.7388363308	0.6136829361
472	0.7388629386	0.6136583102
473	0.7388909703	0.6136298632
474	0.738919165	0.6136040357
475	0.7389375118	0.6135776924
476	0.7389569796	0.6135502332
477	0.738977773	0.6135253946
478	0.7390034507	0.6134999131
479	0.7390293996	0.613474295
480	0.7390547664	0.6134489718
481	0.7390788778	0.6134222599
482	0.7391063169	0.6133969597
483	0.7391291956	0.6133701829
484	0.7391591582	0.61334494
485	0.7391917278	0.6133197194
486	0.7392066085	0.6132961429
487	0.7392335368	0.6132702454
488	0.7392608235	0.6132438987
489	0.7392861739	0.6132185874
490	0.7392982616	0.6131925214
491	0.7393269904	0.6131676906
492	0.7393411507	0.6131402525
493	0.7393664313	0.6131149711
494	0.7393783709	0.6130887271
495	0.7394005623	0.6130640011
496	0.7394198383	0.6130400047
497	0.7394476969	0.6130135658
498	0.7394709264	0.6129883868
499	0.7394930438	0.6129627809
500	0.7395181007	0.6129370557
501	0.7395450826	0.6129139625
502	0.7395627789	0.6128902515
503	0.7395912694	0.612864408
504	0.7395991363	0.6128375829
